INCIDENT_DATE,TIME_OF_DAY,AIRPORT,STATE,OPERATOR,AIRCRAFT,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,PHASE_OF_FLIGHT,HEIGHT,SPEED,SKY,DAMAGE_LEVEL,PARTS_STRUCK,PARTS_DAMAGED,ENGINE_INGESTION,SPECIES,SIZE,NUM_STRUCK
1996-07-01,,LA GUARDIA ARPT,NY,UNITED AIRLINES,A-320,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,5000.0,,,Minor,2,1,No,Unknown bird - medium,Medium,1
1990-08-07,Night,LAMBERT-ST LOUIS INTL,MO,PRIVATELY OWNED,C-152,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,200.0,70.0,No Cloud,Minor,1,1,No,Unknown bird - large,Large,1
1995-04-28,,SAN FRANCISCO INTL ARPT,CA,UNITED AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,140.0,,Substantial,3,3,No,Unknown bird - medium,Medium,11-100
1993-09-19,Day,MANCHESTER AIRPORT,NH,PRIVATELY OWNED,BE-33,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,1800.0,150.0,No Cloud,Substantial,1,1,No,Unknown bird - large,Large,1
1992-05-24,Day,UNKNOWN,,PRIVATELY OWNED,C-180,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,1000.0,120.0,No Cloud,Minor,1,1,No,Bald eagle,Large,1
1991-08-30,Night,DETROIT METRO WAYNE COUNTY ARPT,MI,SOUTHWEST AIRLINES,B-737-500,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1000.0,130.0,Some Cloud,Minor,1,1,No,Gulls,Medium,1
1992-05-22,Day,LINCOLN ARPT,NE,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,130.0,Overcast,Substantial,1,1,No,Rails,Medium,11-100
1993-08-28,Day,GRANT COUNTY ARPT,WA,JAPAN AIRLINES,B-747-1/200,airplane,"above 272,000 kg",turbofan,4.0,Climb,500.0,160.0,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1991-11-08,Day,PITTSBURGH INTL ARPT,PA,1US AIRWAYS,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,3700.0,220.0,Overcast,Undetermined,1,1,No,Geese,Large,2-10
1991-05-10,Night,ONTARIO INTL ARPT,CA,UPS AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Descent,9000.0,210.0,No Cloud,Undetermined,4,4,No,Canada goose,Large,11-100
1990-10-26,Day,CAPE COD GATEWAY AIRPORT,MA,NANTUCKET AIRLINES,C-402,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Climb,,,Overcast,Minor,1,1,No,Gulls,Medium,1
1993-01-22,Day,PAGE FIELD ARPT,FL,UNKNOWN,IAI-1124,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,100.0,No Cloud,Minor,1,1,No,Herons,Large,1
1991-10-16,Night,NASHVILLE INTL,TN,AMERICAN EAGLE AIRLINES,BA-31 JETSTR,airplane,"2,251-5,700 kg",turboprop,2.0,Approach,3600.0,240.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1994-05-29,Day,YEAGER ARPT,WV,PRIVATELY OWNED,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,1000.0,85.0,,Minor,1,1,No,Rock pigeon,Small,1
1990-08-05,Night,IDAHO FALLS REGIONAL ARPT,ID,BUSINESS,PA-24 COMANCHE,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,1000.0,175.0,No Cloud,Minor,2,1,No,Ducks,Medium,1
1993-11-27,Night,BILL PUGH FIELD ARPT,AL,PRIVATELY OWNED,C-210 CENTURION,airplane,"2,250 kg or less",reciprocating engine,1.0,Landing Roll,0.0,,No Cloud,Substantial,1,1,No,White-tailed deer,Large,1
1990-10-26,Dawn,CHARLOTTESVILLE-ALBEMARLE ARPT,VA,1US AIRWAYS,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,145.0,Some Cloud,Undetermined,1,1,No,Mourning dove,Small,1
1991-05-25,,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,BUSINESS EXPRESS,SHORTS 360,airplane,"5,701-27,000 kg",turboprop,2.0,Climb,500.0,135.0,Some Cloud,Minor,2,2,No,Canada goose,Large,1
1990-05-28,Day,THE FLORIDA KEYS MARATHON,FL,BUSINESS,PA-31 NAVAJO,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Climb,75.0,130.0,Some Cloud,Minor,1,1,No,Gulls,Medium,2-10
1995-06-16,,UNKNOWN,,UNITED AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Substantial,1,1,No,Unknown bird - medium,Medium,1
1990-10-20,Day,DETROIT METRO WAYNE COUNTY ARPT,MI,NORTHWEST AIRLINES,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,110.0,No Cloud,Minor,3,1,No,Gulls,Medium,2-10
1991-03-02,Day,DALLAS LOVE FIELD ARPT,TX,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,,Some Cloud,Substantial,1,1,No,Gulls,Medium,1
1993-09-18,Dawn,FORT SMITH REGIONAL ARPT,AR,PINNACLE,BA-31 JETSTR,airplane,"2,251-5,700 kg",turboprop,2.0,Take-off Run,0.0,80.0,No Cloud,Substantial,1,1,No,Unknown bird - small,Small,1
1992-08-16,Day,ASHEVILLE REGIONAL ARPT,NC,AMERICAN EAGLE AIRLINES,BA-31 JETSTR,airplane,"2,251-5,700 kg",turboprop,2.0,Take-off Run,0.0,120.0,Some Cloud,Substantial,1,1,No,Unknown bird - medium,Medium,1
1993-08-11,Day,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,DELTA AIR LINES,MD-88,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,,Undetermined,1,1,No,Gulls,Medium,2-10
1991-08-17,Day,RICHARDS-GEBAUR AFB,MO,BUSINESS,C-500,airplane,"2,251-5,700 kg",turbofan,2.0,Take-off Run,0.0,102.0,No Cloud,Minor,1,1,No,Hawks,Medium,1
1992-06-02,Day,JOHN C TUNE ARPT,TN,PRIVATELY OWNED,BE-36,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,150.0,100.0,No Cloud,Undetermined,2,1,No,Unknown bird - small,Small,11-100
1993-08-26,Day,SARASOTA-BRADENTON INTL ARPT,FL,BUSINESS,CITATION II,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,10.0,,Some Cloud,Substantial,1,1,No,Egrets,Medium,1
1996-08-27,,UNKNOWN,,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1991-01-15,Day,PAGE FIELD ARPT,FL,UNKNOWN,LEARJET-24,airplane,"5,701-27,000 kg",turbojet,2.0,Climb,25.0,,Overcast,Substantial,2,1,No,Gulls,Medium,2-10
1991-09-09,,PHILADELPHIA INTL,PA,1US AIRWAYS,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,6500.0,250.0,No Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1990-06-13,Day,UNKNOWN,,AIR VEGAS,C-402,airplane,"2,251-5,700 kg",reciprocating engine,2.0,En Route,4500.0,155.0,No Cloud,Minor,1,1,No,Hawks,Medium,1
1990-10-25,Day,UNKNOWN,,BUSINESS,BE-200 KING,airplane,"2,251-5,700 kg",turboprop,2.0,En Route,1100.0,175.0,Some Cloud,Undetermined,1,1,No,Geese,Large,2-10
1992-07-28,Night,SANFORD REGIONAL ARPT,ME,BUSINESS,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Landing Roll,0.0,,,Minor,1,1,No,White-tailed deer,Large,1
1992-11-12,,WINGS FIELD ARPT,PA,PRIVATELY OWNED,PA-22 TP/COLT,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,8.0,88.0,No Cloud,Substantial,2,2,No,Turkey vulture,Large,1
1990-10-09,Day,DEKALB-PEACHTREE ARPT,GA,BUSINESS,CITATION II,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,,No Cloud,Substantial,1,1,No,Unknown bird - small,Small,1
1990-08-21,Day,PITTSBURGH INTL ARPT,PA,1US AIRWAYS,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,,Overcast,Substantial,2,2,No,Unknown bird - small,Small,2-10
1991-06-02,Day,KANSAS CITY INTL,MO,AMERICA WEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,900.0,170.0,Some Cloud,Substantial,1,1,No,Unknown bird - large,Large,1
1990-09-17,Day,MIAMI INTL,FL,AMERICAN AIRLINES,B-727-100,airplane,"27,001-272,000 kg",turbofan,3.0,Climb,16000.0,300.0,No Cloud,Minor,2,2,No,Unknown bird - medium,Medium,1
1992-11-14,Day,DAVID WAYNE HOOKS MEMORIAL ARPT,TX,PRIVATELY OWNED,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,2000.0,100.0,No Cloud,Substantial,1,1,No,New World vultures,Large,1
1991-12-17,Day,UNKNOWN,,GOVERNMENT,BELL-206,helicopter,"2,250 kg or less",turboshaft,1.0,En Route,300.0,80.0,No Cloud,Minor,1,1,No,New World vultures,Large,1
1992-11-11,Day,ABRAHAM LINCOLN CAPITAL ARPT,IL,GOVERNMENT,C-421,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Landing Roll,0.0,125.0,Overcast,Minor,1,1,No,Gulls,Medium,11-100
1991-09-18,Day,IGOR I SIKORSKY MEMORIAL,CT,UNKNOWN,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,100.0,65.0,Overcast,Minor,1,1,No,Mallard,Medium,1
1991-08-13,Night,MERRILL C MEIGS ARPT,IL,BUSINESS,C-560,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,102.0,Some Cloud,Undetermined,1,1,No,Gulls,Medium,2-10
1991-08-21,,PORT MEADVILLE ARPT,PA,CALEDONIAN AIRWAYS,LEARJET-25,airplane,"5,701-27,000 kg",turbojet,2.0,Climb,1400.0,,No Cloud,Undetermined,1,1,No,Sparrows,Small,2-10
1991-11-22,Day,DUTCHESS COUNTY ARPT,NY,BUSINESS,LEARJET-55,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,120.0,Overcast,Minor,1,1,No,Gulls,Medium,2-10
1992-04-13,Day,CHICAGO EXECUTIVE ARPT,IL,BUSINESS,LOCKHEED 1329,airplane,"5,701-27,000 kg",turbojet,4.0,Take-off Run,0.0,,Overcast,Minor,1,1,No,Canada goose,Large,1
1994-10-25,Day,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,LA,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,500.0,165.0,Overcast,Substantial,1,1,No,Unknown bird - large,Large,1
1992-11-30,Night,LA GUARDIA ARPT,NY,1US AIRWAYS,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,400.0,160.0,No Cloud,Undetermined,2,1,No,Gulls,Medium,2-10
1994-04-03,Night,METRO OAKLAND INTL,CA,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,500.0,180.0,No Cloud,Minor,2,2,No,Gulls,Medium,2-10
1990-07-21,,MC CLELLAN-PALOMAR ARPT,CA,PRIVATELY OWNED,PA-38 TOMAHAWK,airplane,"2,250 kg or less",reciprocating engine,1.0,,,,No Cloud,Minor,1,1,No,Unknown bird - small,Small,1
1990-10-19,Dawn,PORTLAND INTL (OR),OR,1US AIRWAYS,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,200.0,160.0,Some Cloud,Substantial,2,1,No,Gulls,Medium,2-10
1991-07-12,Night,BEAUREGARD REGIONAL ARPT,LA,PRIVATELY OWNED,BE-58 BARON,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Approach,,95.0,Some Cloud,Substantial,1,1,No,Owls,Medium,1
1993-10-02,Dawn,RALEIGH COUNTY MEMORIAL,WV,CCAIR,BA-31 JETSTR,airplane,"2,251-5,700 kg",turboprop,2.0,Take-off Run,0.0,,,Minor,2,2,No,White-tailed deer,Large,1
1992-06-05,Night,UNKNOWN,,AIR MIDWEST,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,En Route,,,Some Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1991-03-17,Day,UNKNOWN,,PRIVATELY OWNED,BE-36,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,3000.0,160.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1993-07-23,Day,SMITH MOUNTAIN LAKE,VA,PRIVATELY OWNED,C-182,airplane,"2,250 kg or less",reciprocating engine,1.0,Take-off Run,0.0,,,Minor,1,1,No,White-tailed deer,Large,1
1990-07-21,Day,DALLAS LOVE FIELD ARPT,TX,SOUTHWEST AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,100.0,145.0,No Cloud,Minor,1,1,No,Blackbirds,Small,1
1993-09-21,Night,GROTON-NEW LONDON AR,CT,ALLEGHENY AIRLINES,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Landing Roll,0.0,,Overcast,Minor,2,2,No,Gulls,Medium,2-10
1990-10-17,Night,LA CROSSE MUNICIPAL AIRPORT,WI,BUSINESS,BE-200 KING,airplane,"2,251-5,700 kg",turboprop,2.0,Approach,2000.0,180.0,Some Cloud,Minor,1,1,No,Ducks,Medium,2-10
1991-07-06,Day,LOS ANGELES INTL,CA,CONTINENTAL AIRLINES,A-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,125.0,Some Cloud,Minor,1,1,No,Hawks,Medium,1
1990-07-25,Day,GROTON-NEW LONDON AR,CT,BUSINESS,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,300.0,80.0,Overcast,Minor,1,1,No,Gulls,Medium,1
1993-10-24,Night,UNKNOWN,,PRIVATELY OWNED,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,2000.0,120.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1991-09-07,Day,NEWARK LIBERTY INTL ARPT,NJ,CONTINENTAL AIRLINES,ATR-42,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,400.0,120.0,Some Cloud,Minor,1,1,No,Unknown bird - large,Large,1
1990-07-22,Day,UNKNOWN,,PRIVATELY OWNED,BE-36,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,8000.0,155.0,Some Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1991-03-10,Day,UNKNOWN,,1US AIRWAYS,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,30.0,145.0,No Cloud,Minor,1,1,No,Gulls,Medium,1
1993-11-16,Night,PHILADELPHIA INTL,PA,1US AIRWAYS,FOKKER F100,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,9000.0,250.0,No Cloud,Undetermined,1,1,No,Unknown bird - large,Large,1
1992-11-16,Night,PEARSON FIELD ARPT,WA,PRIVATELY OWNED,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,800.0,120.0,Overcast,Substantial,2,2,No,Canada goose,Large,2-10
1990-10-31,Day,UNKNOWN,,WESTAIR COMMUTER,EMB-120,airplane,"5,701-27,000 kg",turboprop,2.0,Landing Roll,0.0,120.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1990-05-14,Day,NEW BEDFORD REGIONAL ARPT,MA,PRIVATELY OWNED,PA-31 NAVAJO,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Take-off Run,0.0,95.0,Overcast,Minor,1,1,No,Gulls,Medium,2-10
1990-12-21,Night,PITTSBURGH INTL ARPT,PA,1US AIRWAYS,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1203.0,250.0,Overcast,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1991-04-19,Day,RONALD REAGAN WASHINGTON NATIONAL ARPT,DC,ALLEGHENY AIRLINES,SHORTS 360,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,900.0,140.0,Overcast,Minor,2,2,No,Ducks,Medium,2-10
1990-08-10,Night,LOS ANGELES INTL,CA,HAWAIIAN AIR,L-1011,airplane,"27,001-272,000 kg",turbofan,3.0,Approach,2200.0,180.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1991-03-18,Day,UNALASKA ARPT,AK,MARKAIR,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,400.0,130.0,Some Cloud,Minor,1,1,No,Bald eagle,Large,1
1996-08-28,,UNKNOWN,,UNITED AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1990-05-02,Day,ADDISON AIRPORT,TX,BUSINESS,DASSAULT-10 FALCON,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,100.0,Overcast,Substantial,1,1,No,Blackbirds,Small,2-10
1990-05-29,,JOHN WAYNE-ORANGE COUNTY ARPT,CA,TRANS WORLD AIRLINES,MD-80,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,200.0,130.0,Some Cloud,Undetermined,1,1,No,Unknown bird - small,Small,1
1990-06-29,Day,KING SALMON,AK,PENAIR,PA-31 NAVAJO,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Take-off Run,0.0,,Some Cloud,Minor,2,1,No,Unknown bird - small,Small,1
1990-06-01,Dawn,OTTAWA/MACDONALD-CARTIER INTL,ON,1US AIRWAYS,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,136.0,No Cloud,Undetermined,1,1,No,Gulls,Medium,1
1990-11-14,Day,UNKNOWN,,1US AIRWAYS,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Substantial,1,1,No,Unknown bird - medium,Medium,1
1990-06-12,Night,YUBA COUNTY ARPT,CA,BUSINESS,EMB-120,airplane,"5,701-27,000 kg",turboprop,2.0,Take-off Run,0.0,,No Cloud,Undetermined,1,1,No,Coyote,Large,1
1993-11-07,Day,KANSAS CITY INTL,MO,1US AIRWAYS,FOKKER F100,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,100.0,No Cloud,Undetermined,1,1,No,Hawks,Medium,1
1993-11-28,Day,PALM BEACH INTL,FL,PRIVATELY OWNED,BE-300 KING,airplane,"2,250 kg or less",turboprop,2.0,Take-off Run,0.0,,Some Cloud,Minor,1,1,No,Egrets,Medium,2-10
1992-02-20,Night,DALLAS/FORT WORTH INTL ARPT,TX,AMERICAN AIRLINES,B-727-200,airplane,"27,001-272,000 kg",turbofan,3.0,Climb,8000.0,250.0,No Cloud,Substantial,1,1,No,Unknown bird - large,Large,1
1992-11-21,Day,PORTLAND INTL (OR),OR,DELTA AIR LINES,MD-11,airplane,"27,001-272,000 kg",turbofan,3.0,Take-off Run,0.0,100.0,Overcast,Substantial,1,1,No,Gulls,Medium,1
1990-09-17,Day,WILLIAM P HOBBY ARPT,TX,AMERICAN AIRLINES,MD-80,airplane,"27,001-272,000 kg",turbofan,2.0,,,,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1990-09-24,Day,CLEVELAND-HOPKINS INTL ARPT,OH,PAN AM,B-727,airplane,"27,001-272,000 kg",turbofan,3.0,Approach,1000.0,145.0,Overcast,Minor,1,1,No,Unknown bird - medium,Medium,1
1990-05-11,Day,VALLEY INTL,TX,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,135.0,Some Cloud,Substantial,1,1,No,Gulls,Medium,1
1991-03-24,Day,NAPLES MUNICIPAL,FL,NASHVILLE EAGLE,BA-31 JETSTR,airplane,"2,251-5,700 kg",turboprop,2.0,Approach,1500.0,200.0,No Cloud,Minor,2,2,No,New World vultures,Large,2-10
1994-09-14,Day,UNKNOWN,,PRIVATELY OWNED,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,2000.0,120.0,Some Cloud,Undetermined,1,1,No,American crow,Medium,1
1992-07-23,Day,GENERAL MITCHELL INTL,WI,CORPORATE AVIATION SVCS,MU-2,airplane,"2,251-5,700 kg",turboprop,2.0,Approach,,,Overcast,Minor,3,1,No,Gulls,Medium,2-10
1991-09-01,Day,SAN ANTONIO INTL,TX,SOUTHWEST AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,,180.0,No Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1990-10-01,Night,CHEYENNE REGIONAL ARPT/JERRY OLSON FIELD,WY,PRIVATELY OWNED,C-152,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,545.0,,Some Cloud,Minor,1,1,No,Mallard,Medium,2-10
1990-11-25,Day,MIAMI INTL,FL,PAN AM,B-727-200,airplane,"27,001-272,000 kg",turbofan,3.0,Climb,1300.0,200.0,Some Cloud,Minor,1,1,No,Gulls,Medium,1
1994-02-08,Day,NORTH PERRY ARPT,FL,BUSINESS,PA-18 SUPER CUB,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,200.0,80.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1993-07-22,Day,ELMIRA/CORNING REGIONAL ARPT,NY,ALLEGHENY AIRLINES,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,100.0,135.0,Some Cloud,Minor,2,2,No,European starling,Small,2-10
1991-09-11,Day,RONALD REAGAN WASHINGTON NATIONAL ARPT,DC,1US AIRWAYS,B-737-400,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,No Cloud,Substantial,1,1,No,Mourning dove,Small,1
1990-07-12,Day,FOND DU LAC COUNTY ARPT,WI,BUSINESS,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,25.0,75.0,Some Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1991-08-18,Day,WAUKEGAN REGIONAL ARPT,IL,PRIVATELY OWNED,C-152,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,100.0,70.0,Some Cloud,Minor,1,1,No,Ducks,Medium,1
1993-08-31,Dawn,UNKNOWN,,ABX AIR,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,En Route,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
1990-07-18,Day,BURKE LAKEFRONT,OH,NORTH COAST AIR SERVICES,SA227 AC METRO III,airplane,"2,251-5,700 kg",turboprop,2.0,Landing Roll,0.0,80.0,No Cloud,Undetermined,1,1,No,"Sandpipers, curlews, phalaropes, allies",Small,1
1993-08-31,Day,EPPLEY AIRFIELD,NE,CENTRAL AIR SOUTHWEST,RKWL SHRIKE,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Approach,400.0,120.0,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1991-10-22,Dusk,JAMES M COX DAYTON INTL,OH,1US AIRWAYS,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,30.0,140.0,No Cloud,Minor,2,1,No,Unknown bird - small,Small,1
1993-09-24,Dusk,SALT LAKE CITY INTL,UT,DELTA AIR LINES,B-767-200,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1200.0,170.0,No Cloud,Minor,2,2,No,Unknown bird - large,Large,1
1990-07-19,Day,LAMBERT-ST LOUIS INTL,MO,AMERICAN AIRLINES,MD-80,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,4900.0,210.0,Some Cloud,Minor,2,1,No,Blackbirds,Small,1
1990-09-01,Day,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,1US AIRWAYS,B-737-400,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,500.0,165.0,No Cloud,Undetermined,1,1,No,Gulls,Medium,1
1991-09-29,Day,PALM BEACH INTL,FL,UNKNOWN,PA-32,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,2200.0,140.0,Some Cloud,Minor,2,1,No,New World vultures,Large,1
1991-03-02,Night,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,LA,BUSINESS,DASSAULT-20 FALCON,airplane,"5,701-27,000 kg",turbofan,2.0,Landing Roll,0.0,110.0,Overcast,Minor,1,1,No,Gulls,Medium,1
1990-09-05,Night,SPENCER MUNICIPAL AIRPORT,IA,FAA,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,400.0,140.0,No Cloud,Minor,3,3,No,Canada goose,Large,2-10
1993-09-18,Day,"BATON ROUGE METROPOLITAN, RYAN FIELD",LA,DELTA AIR LINES,MD-88,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,Some Cloud,Minor,1,1,No,Unknown bird - medium,Medium,2-10
1991-09-08,Day,EXECUTIVE ARPT,FL,PRIVATELY OWNED,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,1500.0,115.0,Some Cloud,Minor,1,1,No,Ducks,Medium,2-10
1991-11-25,Day,GAINESVILLE REG ARPT,FL,1US AIRWAYS,FOKKER F28 MK 1000,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,No Cloud,Minor,1,1,No,Thrushes,Small,1
1991-10-04,Night,UNKNOWN,,ABX AIR,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,En Route,,,No Cloud,Minor,2,1,No,Unknown bird - medium,Medium,1
1991-01-21,Day,SOUTHWEST FLORIDA INTL ARPT,FL,NASHVILLE EAGLE,BA-31 JETSTR,airplane,"2,251-5,700 kg",turboprop,2.0,Take-off Run,0.0,100.0,Some Cloud,Minor,1,1,No,Egrets,Medium,2-10
1990-05-22,Day,DALLAS LOVE FIELD ARPT,TX,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,125.0,,Minor,1,1,No,Rock pigeon,Small,2-10
1990-05-18,Dawn,UNKNOWN,,PRIVATELY OWNED,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,2500.0,96.0,No Cloud,Minor,1,1,No,Unknown bird - small,Small,1
1991-11-22,Day,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,1US AIRWAYS,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,135.0,Overcast,Undetermined,2,1,No,Herring gull,Medium,11-100
1990-11-25,Day,OPA-LOCKA EXECUTIVE ARPT,FL,PRIVATELY OWNED,C-152,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,500.0,65.0,Some Cloud,Substantial,1,1,No,Unknown bird - medium,Medium,
1991-05-01,Day,JOHN F KENNEDY INTL,NY,UPS AIRLINES,DC-8-70,airplane,"27,001-272,000 kg",turbofan,4.0,Approach,200.0,145.0,Overcast,Minor,6,2,No,Gulls,Medium,2-10
1990-11-21,Night,RAPID CITY REGIONAL,SD,UNKNOWN,C-421,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Climb,6000.0,111.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
1990-11-17,Day,BOB HOPE ARPT,CA,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,200.0,130.0,Some Cloud,Substantial,1,1,No,Unknown bird - medium,Medium,2-10
1995-02-02,,SAN FRANCISCO INTL ARPT,CA,UNITED AIRLINES,UNKNOWN,,,,,Climb,,,,Undetermined,1,1,No,Unknown bird - medium,Medium,1
